shipper_id,total_days,worked_days,worked_days_ratio,mon_prob,tue_prob,wed_prob,thu_prob,fri_prob,sat_prob,sun_prob
17493,226.0,53.0,0.234513274336,0.529953917051,0.127880184332,0.0812211981567,0.211405529954,0.0489631336406,0.000576036866359,0.0
17556,24.0,7.0,0.291666666667,0.117647058824,0.323529411765,0.0294117647059,0.529411764706,0.0,0.0,0.0
17560,37.0,10.0,0.27027027027,0.0196078431373,0.274509803922,0.0,0.352941176471,0.352941176471,0.0,0.0
17631,234.0,16.0,0.0683760683761,0.0625,0.104166666667,0.0416666666667,0.458333333333,0.125,0.208333333333,0.0
17658,4.0,4.0,1.0,0.0,0.0,0.2,0.7,0.1,0.0,0.0
17671,1.0,1.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
17765,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17831,129.0,29.0,0.22480620155,0.16091954023,0.310344827586,0.183908045977,0.149425287356,0.183908045977,0.0,0.0114942528736
17836,242.0,55.0,0.227272727273,0.237113402062,0.265463917526,0.0850515463918,0.255154639175,0.128865979381,0.020618556701,0.00773195876289
17890,58.0,46.0,0.793103448276,0.192681105302,0.206870799104,0.146377893951,0.182225541449,0.150858849888,0.0941000746826,0.0268857356236
17904,10.0,3.0,0.3,0.0,0.0909090909091,0.0454545454545,0.863636363636,0.0,0.0,0.0
17941,95.0,31.0,0.326315789474,0.259312320917,0.15329512894,0.293696275072,0.171919770774,0.0830945558739,0.0386819484241,0.0
18223,35.0,2.0,0.0571428571429,0.0,0.333333333333,0.666666666667,0.0,0.0,0.0,0.0
18258,5.0,2.0,0.4,0.0,0.454545454545,0.0,0.0,0.545454545455,0.0,0.0
18383,282.0,181.0,0.641843971631,0.256679389313,0.167461832061,0.150763358779,0.269083969466,0.125,0.0286259541985,0.00238549618321
18485,73.0,21.0,0.287671232877,0.31746031746,0.142857142857,0.206349206349,0.111111111111,0.206349206349,0.0,0.015873015873
18498,64.0,8.0,0.125,0.136363636364,0.409090909091,0.136363636364,0.272727272727,0.0454545454545,0.0,0.0
18508,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18584,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18604,33.0,11.0,0.333333333333,0.0714285714286,0.232142857143,0.0535714285714,0.482142857143,0.160714285714,0.0,0.0
18761,7.0,3.0,0.428571428571,0.294117647059,0.0,0.705882352941,0.0,0.0,0.0,0.0
18767,230.0,121.0,0.526086956522,0.193228736581,0.179190751445,0.223781998348,0.184971098266,0.196531791908,0.0173410404624,0.00495458298927
18806,113.0,33.0,0.29203539823,0.101694915254,0.0932203389831,0.237288135593,0.21186440678,0.28813559322,0.00847457627119,0.0593220338983
18816,18.0,5.0,0.277777777778,0.0,0.0909090909091,0.0909090909091,0.363636363636,0.454545454545,0.0,0.0
